##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
--------------------------------------------------------------------------------------------------------
track0_infill_bars101_105_generationtime_11.020653009414673.midi | 8.00 | 0.00 | 8 | 8 | 7.50 | 1.00 | 8 | 6
track0_infill_bars101_105_generationtime_7.569983720779419.midi | 8.00 | 0.00 | 8 | 8 | 6.75 | 2.50 | 8 | 3
track0_infill_bars101_105_generationtime_7.760081768035889.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars107_111_generationtime_5.860997915267944.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars107_111_generationtime_5.866992235183716.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars107_111_generationtime_6.182996034622192.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars112_116_generationtime_5.75896430015564.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars112_116_generationtime_5.794311285018921.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars112_116_generationtime_5.893101215362549.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars118_122_generationtime_7.073984622955322.midi | 12.00 | 4.28 | 16 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars118_122_generationtime_8.058006525039673.midi | 12.00 | 4.28 | 16 | 8 | 9.50 | 3.00 | 14 | 8
track0_infill_bars118_122_generationtime_8.347005605697632.midi | 12.00 | 4.28 | 16 | 8 | 10.50 | 3.00 | 14 | 8
track0_infill_bars121_125_generationtime_11.367827653884888.midi | 12.50 | 3.82 | 16 | 8 | 12.25 | 4.50 | 16 | 7
track0_infill_bars121_125_generationtime_15.464807748794556.midi | 12.50 | 3.82 | 16 | 8 | 16.00 | 0.00 | 16 | 16
track0_infill_bars121_125_generationtime_63.1911199092865.midi | 12.50 | 3.82 | 16 | 8 | 16.00 | 0.00 | 16 | 16
track0_infill_bars142_146_generationtime_11.482997417449951.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars142_146_generationtime_11.836020469665527.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars142_146_generationtime_11.923005819320679.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars147_151_generationtime_16.018074989318848.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars147_151_generationtime_16.362926959991455.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars147_151_generationtime_17.331434726715088.midi | 16.00 | 0.00 | 16 | 16 | 15.25 | 0.96 | 16 | 14
track0_infill_bars149_153_generationtime_104.43514060974121.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars149_153_generationtime_21.355012893676758.midi | 16.00 | 0.00 | 16 | 16 | 12.50 | 7.00 | 16 | 2
track0_infill_bars149_153_generationtime_24.266494512557983.midi | 16.00 | 0.00 | 16 | 16 | 15.50 | 1.00 | 16 | 14
track0_infill_bars149_153_generationtime_24.635630130767822.midi | 16.00 | 0.00 | 16 | 16 | 12.50 | 7.00 | 16 | 2
track0_infill_bars149_153_generationtime_37.93367385864258.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars149_153_generationtime_90.84216213226318.midi | 16.00 | 0.00 | 16 | 16 | 12.50 | 7.00 | 16 | 2
track0_infill_bars150_154_generationtime_11.542187690734863.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars150_154_generationtime_16.374061822891235.midi | 16.00 | 0.00 | 16 | 16 | 14.00 | 4.00 | 16 | 8
track0_infill_bars150_154_generationtime_43.75700855255127.midi | 16.00 | 0.00 | 16 | 16 | 16.00 | 0.00 | 16 | 16
track0_infill_bars152_156_generationtime_15.218649625778198.midi | 15.50 | 0.93 | 16 | 14 | 16.00 | 0.00 | 16 | 16
track0_infill_bars152_156_generationtime_15.693769693374634.midi | 15.50 | 0.93 | 16 | 14 | 16.00 | 0.00 | 16 | 16
track0_infill_bars152_156_generationtime_9.883323192596436.midi | 15.50 | 0.93 | 16 | 14 | 9.00 | 8.08 | 16 | 2
