##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
--------------------------------------------------------------------------------------------------------
track0_infill_bars101_105_generationtime_11.020653009414673.midi | 3.00 | 0.71 | 4 | 2 | 3.00 | 0.00 | 3 | 3
track0_infill_bars101_105_generationtime_7.569983720779419.midi | 3.00 | 0.71 | 4 | 2 | 2.75 | 0.43 | 3 | 2
track0_infill_bars101_105_generationtime_7.760081768035889.midi | 3.00 | 0.71 | 4 | 2 | 3.00 | 0.00 | 3 | 3
track0_infill_bars107_111_generationtime_5.860997915267944.midi | 3.00 | 0.71 | 4 | 2 | 3.00 | 0.71 | 4 | 2
track0_infill_bars107_111_generationtime_5.866992235183716.midi | 3.00 | 0.71 | 4 | 2 | 2.75 | 0.43 | 3 | 2
track0_infill_bars107_111_generationtime_6.182996034622192.midi | 3.00 | 0.71 | 4 | 2 | 2.75 | 0.43 | 3 | 2
track0_infill_bars112_116_generationtime_5.75896430015564.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars112_116_generationtime_5.794311285018921.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars112_116_generationtime_5.893101215362549.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars118_122_generationtime_7.073984622955322.midi | 3.25 | 0.83 | 4 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars118_122_generationtime_8.058006525039673.midi | 3.25 | 0.83 | 4 | 2 | 2.75 | 0.43 | 3 | 2
track0_infill_bars118_122_generationtime_8.347005605697632.midi | 3.25 | 0.83 | 4 | 2 | 2.75 | 0.83 | 4 | 2
track0_infill_bars121_125_generationtime_11.367827653884888.midi | 3.12 | 0.93 | 4 | 2 | 3.00 | 0.71 | 4 | 2
track0_infill_bars121_125_generationtime_15.464807748794556.midi | 3.12 | 0.93 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars121_125_generationtime_63.1911199092865.midi | 3.12 | 0.93 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars142_146_generationtime_11.482997417449951.midi | 4.00 | 0.00 | 4 | 4 | 3.50 | 0.87 | 4 | 2
track0_infill_bars142_146_generationtime_11.836020469665527.midi | 4.00 | 0.00 | 4 | 4 | 3.25 | 0.83 | 4 | 2
track0_infill_bars142_146_generationtime_11.923005819320679.midi | 4.00 | 0.00 | 4 | 4 | 3.50 | 0.87 | 4 | 2
track0_infill_bars147_151_generationtime_16.018074989318848.midi | 3.00 | 1.00 | 4 | 2 | 3.00 | 1.00 | 4 | 2
track0_infill_bars147_151_generationtime_16.362926959991455.midi | 3.00 | 1.00 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars147_151_generationtime_17.331434726715088.midi | 3.00 | 1.00 | 4 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars149_153_generationtime_104.43514060974121.midi | 3.50 | 0.87 | 4 | 2 | 3.00 | 1.00 | 4 | 2
track0_infill_bars149_153_generationtime_21.355012893676758.midi | 3.50 | 0.87 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars149_153_generationtime_24.266494512557983.midi | 3.50 | 0.87 | 4 | 2 | 2.75 | 0.83 | 4 | 2
track0_infill_bars149_153_generationtime_24.635630130767822.midi | 3.50 | 0.87 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars149_153_generationtime_37.93367385864258.midi | 3.50 | 0.87 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars149_153_generationtime_90.84216213226318.midi | 3.50 | 0.87 | 4 | 2 | 3.00 | 1.00 | 4 | 2
track0_infill_bars150_154_generationtime_11.542187690734863.midi | 4.00 | 0.00 | 4 | 4 | 3.00 | 1.00 | 4 | 2
track0_infill_bars150_154_generationtime_16.374061822891235.midi | 4.00 | 0.00 | 4 | 4 | 3.50 | 0.87 | 4 | 2
track0_infill_bars150_154_generationtime_43.75700855255127.midi | 4.00 | 0.00 | 4 | 4 | 3.00 | 1.00 | 4 | 2
track0_infill_bars152_156_generationtime_15.218649625778198.midi | 3.50 | 0.87 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars152_156_generationtime_15.693769693374634.midi | 3.50 | 0.87 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track0_infill_bars152_156_generationtime_9.883323192596436.midi | 3.50 | 0.87 | 4 | 2 | 3.75 | 2.05 | 7 | 2
track0_infill_bars19_23_generationtime_10.390470743179321.midi | 3.00 | 0.71 | 4 | 2 | 3.25 | 0.43 | 4 | 3
track0_infill_bars19_23_generationtime_11.827162504196167.midi | 3.00 | 0.71 | 4 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars19_23_generationtime_8.343458414077759.midi | 3.00 | 0.71 | 4 | 2 | 3.00 | 0.71 | 4 | 2
track0_infill_bars23_27_generationtime_5.582838535308838.midi | 2.50 | 0.50 | 3 | 2 | 2.00 | 0.71 | 3 | 1
track0_infill_bars23_27_generationtime_6.27269172668457.midi | 2.50 | 0.50 | 3 | 2 | 3.25 | 0.43 | 4 | 3
track0_infill_bars23_27_generationtime_6.371424198150635.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars23_27_generationtime_6.3837058544158936.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars23_27_generationtime_6.427639007568359.midi | 2.50 | 0.50 | 3 | 2 | 3.00 | 0.00 | 3 | 3
track0_infill_bars23_27_generationtime_6.626196384429932.midi | 2.50 | 0.50 | 3 | 2 | 3.00 | 0.00 | 3 | 3
track0_infill_bars29_33_generationtime_10.19644045829773.midi | 3.00 | 0.71 | 4 | 2 | 5.50 | 1.50 | 7 | 3
track0_infill_bars29_33_generationtime_6.596125364303589.midi | 3.00 | 0.71 | 4 | 2 | 3.00 | 0.00 | 3 | 3
track0_infill_bars29_33_generationtime_6.600492000579834.midi | 3.00 | 0.71 | 4 | 2 | 2.25 | 0.83 | 3 | 1
track0_infill_bars32_36_generationtime_5.82676100730896.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars32_36_generationtime_5.9170002937316895.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars32_36_generationtime_6.551849365234375.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars33_37_generationtime_7.337113380432129.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars33_37_generationtime_7.691392421722412.midi | 2.50 | 0.50 | 3 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars33_37_generationtime_7.983777761459351.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars36_40_generationtime_5.5979907512664795.midi | 3.00 | 0.71 | 4 | 2 | 3.75 | 0.43 | 4 | 3
track0_infill_bars36_40_generationtime_5.902999401092529.midi | 3.00 | 0.71 | 4 | 2 | 3.25 | 0.83 | 4 | 2
track0_infill_bars36_40_generationtime_6.203994989395142.midi | 3.00 | 0.71 | 4 | 2 | 3.00 | 0.71 | 4 | 2
track0_infill_bars47_51_generationtime_13.701295137405396.midi | 2.25 | 0.43 | 3 | 2 | 2.00 | 0.00 | 2 | 2
track0_infill_bars47_51_generationtime_7.625121831893921.midi | 2.25 | 0.43 | 3 | 2 | 3.25 | 0.83 | 4 | 2
track0_infill_bars47_51_generationtime_8.664250135421753.midi | 2.25 | 0.43 | 3 | 2 | 3.00 | 0.71 | 4 | 2
track0_infill_bars52_56_generationtime_14.031220436096191.midi | 2.25 | 0.66 | 4 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars52_56_generationtime_6.655887126922607.midi | 2.25 | 0.66 | 4 | 2 | 1.75 | 0.43 | 2 | 1
track0_infill_bars52_56_generationtime_7.135240077972412.midi | 2.25 | 0.66 | 4 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars55_59_generationtime_12.709693431854248.midi | 2.00 | 0.00 | 2 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars55_59_generationtime_8.66902780532837.midi | 2.00 | 0.00 | 2 | 2 | 2.75 | 0.43 | 3 | 2
