##### GLOBAL STATISTICS #####
N-gram | Mean | Std. Dev. | Median | Min | Max
---------------------------------------------
2-note | 2.50 | 2.10 | 2.00 | 0 | 9
3-note | 2.70 | 2.73 | 2.00 | 0 | 11
4-note | 2.91 | 3.45 | 2.00 | 0 | 14
2-note-ratio | 40.87 | 33.99 | 40.00 | 0.0 | 100.0
3-note-ratio | 31.41 | 33.33 | 22.22 | 0.0 | 100.0
4-note-ratio | 27.06 | 32.35 | 14.29 | 0.0 | 100.0

##### FILE-SPECIFIC N-GRAM REPETITIONS #####
Filename | 2-note | 3-note | 4-note | 2-note-ratio | 3-note-ratio | 4-note-ratio
-------------------------------------------------------------------------
track0_infill_bars101_105_generationtime_11.020653009414673.midi | 6 | 8 | 9 | 100.00 | 100.00 | 90.00
track0_infill_bars101_105_generationtime_7.569983720779419.midi | 6 | 7 | 8 | 100.00 | 87.50 | 80.00
track0_infill_bars101_105_generationtime_7.760081768035889.midi | 4 | 6 | 8 | 66.67 | 75.00 | 80.00
track0_infill_bars107_111_generationtime_5.860997915267944.midi | 6 | 10 | 14 | 100.00 | 100.00 | 100.00
track0_infill_bars107_111_generationtime_5.866992235183716.midi | 4 | 3 | 2 | 66.67 | 30.00 | 14.29
track0_infill_bars107_111_generationtime_6.182996034622192.midi | 4 | 6 | 8 | 66.67 | 60.00 | 57.14
track0_infill_bars112_116_generationtime_5.75896430015564.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars112_116_generationtime_5.794311285018921.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars112_116_generationtime_5.893101215362549.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars118_122_generationtime_7.073984622955322.midi | 4 | 4 | 4 | 44.44 | 28.57 | 22.22
track0_infill_bars118_122_generationtime_8.058006525039673.midi | 6 | 4 | 4 | 66.67 | 28.57 | 22.22
track0_infill_bars118_122_generationtime_8.347005605697632.midi | 6 | 4 | 3 | 66.67 | 28.57 | 16.67
track0_infill_bars121_125_generationtime_11.367827653884888.midi | 2 | 2 | 2 | 20.00 | 13.33 | 10.00
track0_infill_bars121_125_generationtime_15.464807748794556.midi | 3 | 4 | 5 | 30.00 | 26.67 | 25.00
track0_infill_bars121_125_generationtime_63.1911199092865.midi | 2 | 2 | 2 | 20.00 | 13.33 | 10.00
track0_infill_bars142_146_generationtime_11.482997417449951.midi | 4 | 6 | 7 | 80.00 | 75.00 | 70.00
track0_infill_bars142_146_generationtime_11.836020469665527.midi | 4 | 6 | 7 | 80.00 | 75.00 | 70.00
track0_infill_bars142_146_generationtime_11.923005819320679.midi | 4 | 4 | 4 | 80.00 | 50.00 | 40.00
track0_infill_bars147_151_generationtime_16.018074989318848.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars147_151_generationtime_16.362926959991455.midi | 3 | 4 | 5 | 75.00 | 66.67 | 62.50
track0_infill_bars147_151_generationtime_17.331434726715088.midi | 2 | 2 | 2 | 50.00 | 33.33 | 25.00
track0_infill_bars149_153_generationtime_104.43514060974121.midi | 2 | 2 | 2 | 50.00 | 33.33 | 25.00
track0_infill_bars149_153_generationtime_21.355012893676758.midi | 2 | 2 | 2 | 50.00 | 33.33 | 25.00
track0_infill_bars149_153_generationtime_24.266494512557983.midi | 3 | 3 | 3 | 75.00 | 50.00 | 37.50
track0_infill_bars149_153_generationtime_24.635630130767822.midi | 3 | 4 | 4 | 75.00 | 66.67 | 50.00
track0_infill_bars149_153_generationtime_37.93367385864258.midi | 2 | 2 | 2 | 50.00 | 33.33 | 25.00
track0_infill_bars149_153_generationtime_90.84216213226318.midi | 2 | 2 | 2 | 50.00 | 33.33 | 25.00
track0_infill_bars150_154_generationtime_11.542187690734863.midi | 3 | 4 | 4 | 60.00 | 50.00 | 40.00
track0_infill_bars150_154_generationtime_16.374061822891235.midi | 3 | 4 | 5 | 60.00 | 50.00 | 50.00
track0_infill_bars150_154_generationtime_43.75700855255127.midi | 3 | 4 | 5 | 60.00 | 50.00 | 50.00
track0_infill_bars152_156_generationtime_15.218649625778198.midi | 3 | 4 | 5 | 60.00 | 50.00 | 45.45
track0_infill_bars152_156_generationtime_15.693769693374634.midi | 3 | 4 | 5 | 60.00 | 50.00 | 45.45
track0_infill_bars152_156_generationtime_9.883323192596436.midi | 4 | 6 | 7 | 80.00 | 75.00 | 63.64
track0_infill_bars19_23_generationtime_10.390470743179321.midi | 6 | 10 | 14 | 100.00 | 100.00 | 100.00
track0_infill_bars19_23_generationtime_11.827162504196167.midi | 4 | 6 | 8 | 66.67 | 60.00 | 57.14
track0_infill_bars19_23_generationtime_8.343458414077759.midi | 6 | 10 | 14 | 100.00 | 100.00 | 100.00
track0_infill_bars23_27_generationtime_5.582838535308838.midi | 2 | 2 | 2 | 50.00 | 33.33 | 25.00
track0_infill_bars23_27_generationtime_6.27269172668457.midi | 4 | 4 | 4 | 100.00 | 66.67 | 50.00
track0_infill_bars23_27_generationtime_6.371424198150635.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars23_27_generationtime_6.3837058544158936.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars23_27_generationtime_6.427639007568359.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars23_27_generationtime_6.626196384429932.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars29_33_generationtime_10.19644045829773.midi | 4 | 6 | 7 | 66.67 | 75.00 | 70.00
track0_infill_bars29_33_generationtime_6.596125364303589.midi | 4 | 6 | 8 | 66.67 | 75.00 | 80.00
track0_infill_bars29_33_generationtime_6.600492000579834.midi | 4 | 5 | 6 | 66.67 | 62.50 | 60.00
track0_infill_bars32_36_generationtime_5.82676100730896.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars32_36_generationtime_5.9170002937316895.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars32_36_generationtime_6.551849365234375.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars33_37_generationtime_7.337113380432129.midi | 6 | 6 | 6 | 100.00 | 75.00 | 60.00
track0_infill_bars33_37_generationtime_7.691392421722412.midi | 4 | 5 | 6 | 66.67 | 62.50 | 60.00
track0_infill_bars33_37_generationtime_7.983777761459351.midi | 4 | 4 | 4 | 66.67 | 50.00 | 40.00
track0_infill_bars36_40_generationtime_5.5979907512664795.midi | 4 | 6 | 8 | 66.67 | 60.00 | 57.14
track0_infill_bars36_40_generationtime_5.902999401092529.midi | 3 | 3 | 3 | 50.00 | 30.00 | 21.43
track0_infill_bars36_40_generationtime_6.203994989395142.midi | 6 | 10 | 14 | 100.00 | 100.00 | 100.00
track0_infill_bars47_51_generationtime_13.701295137405396.midi | 2 | 2 | 2 | 25.00 | 18.18 | 15.38
track0_infill_bars47_51_generationtime_7.625121831893921.midi | 5 | 1 | 0 | 62.50 | 9.09 | 0.00
track0_infill_bars47_51_generationtime_8.664250135421753.midi | 5 | 5 | 6 | 62.50 | 45.45 | 46.15
track0_infill_bars52_56_generationtime_14.031220436096191.midi | 5 | 5 | 4 | 71.43 | 62.50 | 44.44
track0_infill_bars52_56_generationtime_6.655887126922607.midi | 2 | 2 | 2 | 28.57 | 25.00 | 22.22
track0_infill_bars52_56_generationtime_7.135240077972412.midi | 4 | 2 | 2 | 57.14 | 25.00 | 22.22
track0_infill_bars55_59_generationtime_12.709693431854248.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track0_infill_bars55_59_generationtime_8.66902780532837.midi | 3 | 3 | 2 | 75.00 | 60.00 | 40.00
track0_infill_bars55_59_generationtime_9.159095048904419.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track0_infill_bars5_9_generationtime_5.611167669296265.midi | 6 | 6 | 5 | 100.00 | 75.00 | 50.00
track0_infill_bars5_9_generationtime_5.694825649261475.midi | 4 | 6 | 8 | 66.67 | 75.00 | 80.00
track0_infill_bars5_9_generationtime_6.112812042236328.midi | 6 | 7 | 8 | 100.00 | 87.50 | 80.00
track0_infill_bars6_10_generationtime_5.439635753631592.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars6_10_generationtime_5.5206780433654785.midi | 4 | 4 | 4 | 100.00 | 66.67 | 50.00
track0_infill_bars6_10_generationtime_5.9779980182647705.midi | 4 | 6 | 8 | 100.00 | 100.00 | 100.00
track0_infill_bars74_78_generationtime_7.175053834915161.midi | 5 | 6 | 7 | 45.45 | 42.86 | 41.18
track0_infill_bars74_78_generationtime_7.434039831161499.midi | 4 | 4 | 4 | 36.36 | 28.57 | 23.53
track0_infill_bars74_78_generationtime_9.674030065536499.midi | 3 | 0 | 0 | 27.27 | 0.00 | 0.00
track0_infill_bars76_80_generationtime_4.856992721557617.midi | 2 | 2 | 2 | 18.18 | 13.33 | 10.53
track0_infill_bars76_80_generationtime_5.028993606567383.midi | 8 | 8 | 9 | 72.73 | 53.33 | 47.37
track0_infill_bars76_80_generationtime_5.2039954662323.midi | 8 | 9 | 9 | 72.73 | 60.00 | 47.37
track0_infill_bars92_96_generationtime_6.537856578826904.midi | 4 | 5 | 6 | 66.67 | 50.00 | 42.86
track0_infill_bars92_96_generationtime_6.567126750946045.midi | 5 | 6 | 8 | 83.33 | 60.00 | 57.14
track0_infill_bars92_96_generationtime_6.625631332397461.midi | 4 | 6 | 8 | 66.67 | 60.00 | 57.14
track1_infill_bars105_109_generationtime_20.097963333129883.midi | 1 | 0 | 0 | 50.00 | 0.00 | 0.00
track1_infill_bars105_109_generationtime_6.3288469314575195.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track1_infill_bars105_109_generationtime_9.192710399627686.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track1_infill_bars136_140_generationtime_10.95158576965332.midi | 1 | 1 | 1 | 33.33 | 20.00 | 16.67
track1_infill_bars136_140_generationtime_15.61214566230774.midi | 2 | 2 | 1 | 66.67 | 40.00 | 16.67
track1_infill_bars136_140_generationtime_6.330535173416138.midi | 1 | 0 | 0 | 33.33 | 0.00 | 0.00
track1_infill_bars19_23_generationtime_10.30029559135437.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track1_infill_bars19_23_generationtime_5.841757774353027.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track1_infill_bars19_23_generationtime_6.679826498031616.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track1_infill_bars44_48_generationtime_11.288651466369629.midi | 2 | 3 | 3 | 50.00 | 42.86 | 37.50
track1_infill_bars44_48_generationtime_18.544511079788208.midi | 3 | 5 | 4 | 75.00 | 71.43 | 50.00
track1_infill_bars44_48_generationtime_18.8559992313385.midi | 2 | 3 | 2 | 50.00 | 42.86 | 25.00
track1_infill_bars44_48_generationtime_26.40181565284729.midi | 2 | 3 | 2 | 50.00 | 42.86 | 25.00
