Summary Statistics:
Average Score: 0.37
Minimum Score: 0.00
Maximum Score: 1.00

Filename | content_preservation_score | similarities 
53e55f8d77ed7afc8eeed3c08cda8a3d_track2_infill_bars16_18_context_2_generationtime_2.0102813243865967.mid | 0.32 | [0.5, 0.5, 0.5, 0.45749571099781405, 0.4866062295823822, 0.45534784129556316, 0.36673169046225507, 0.2804955488531695, 0.18213913651822522, 0.0867304008090114, 0.0, 0.0, 0.0, 0.03724858395549113, 0.08842845432415514, 0.12269140639649934, 0.14811359233790133, 0.18452222128345874, 0.20790036306508552, 0.23772268410688802, 0.29434358718393827, 0.4255184098578271, 0.6931856696174553, 0.8968221419660001, 0.9388545250564542, 0.8174896441201265, 0.6824432473603613, 0.4619048210094576, 0.1924666763858074, 0.058421019683673525, 0.02336352095758054, 0.0]
1cd9c24caf08f649d10514b871bff713_track5_infill_bars96_98_context_2_generationtime_0.61405348777771.mid | 0.31 | [0.8728715609439694, 0.8728715609439694, 0.8728715609439696, 0.8728715609439694, 0.8728715609439694, 0.8728715609439696, 0.8728715609439694, 0.8728715609439694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.2581988897471611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
a35fb2a259170f3ef51b12956eb037ad_track0_infill_bars36_38_context_2_generationtime_0.4868917465209961.mid | 0.15 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6933752452815364, 0.9128709291752769, 0.9302605094190636, 0.8574929257125441, 0.6726727939963125, 0.4678877204190328, 0.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9b108df374d4280df2d5086021814fe0_track2_infill_bars36_38_context_2_generationtime_0.7521920204162598.mid | 0.02 | [0.18736555080740513, 0.1485542899210337, 0.12295916191260925, 0.10484544334672918, 0.10484544334672918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
87927d7bf0da3199625bce1a0bc470b4_track2_infill_bars44_46_context_2_generationtime_0.9583899974822998.mid | 0.73 | [0.9997420123265266, 0.9986001027113415, 0.9957209792845941, 0.9956507288961304, 0.995594988668006, 0.9917057372695474, 0.9874279606174642, 0.9793381637851215, 0.9574941304010117, 0.9478424008435018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4513979065707858, 0.37058900580997167, 0.4452830622572962, 0.5441007449271265, 0.612140063152513, 0.6859895223456152, 0.7637148640659553, 0.8200621639457348, 0.8742982707109382, 0.9235747431704664, 0.9616805712561852, 0.9821939505208173, 0.990147652694726, 0.9905202594923794, 0.9890562754614941, 0.9856836990840305, 0.9849090633611891]
da941c8558dce7d81292a770abceacf0_track2_infill_bars28_30_context_2_generationtime_0.6291041374206543.mid | 0.09 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08244114894919174, 0.15793458571378904, 0.23794160739260262, 0.31525193364560966, 0.3875567919966013, 0.40089186286863654, 0.43376642344069183, 0.4629100498862757, 0.4629100498862757]
f45851e435ae5abb6bf96f8b4b95a0e8_track2_infill_bars76_78_context_2_generationtime_0.4304323196411133.mid | 0.23 | [0.42042599031804384, 0.4324416296074818, 0.5564749056267309, 0.6636569479420448, 0.7462639594361004, 0.828115129184266, 0.8426910291193265, 0.8247203244584151, 0.7600786753717915, 0.6187154014905969, 0.42856992240439884, 0.24665800855241315, 0.09136364613867665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
d2965d6947c9c89ed5eeb1f97c9889c1_track0_infill_bars36_38_context_2_generationtime_1.0066285133361816.mid | 0.63 | [0.8643730358551466, 0.8643730358551467, 0.8297603606003104, 0.8880057239335585, 0.8880057239335585, 0.8338930370828411, 0.852407550574165, 0.9107297098131891, 0.9530206138089613, 0.9530206138089613, 0.816496580927726, 0.0, 0.09136364606808423, 0.23507016711026218, 0.2504643558680132, 0.3014401840245512, 0.508137915106361, 0.6020388262856, 0.8490923432499459, 0.9026447473792416, 0.8755534095007961, 0.8338930370828411, 0.852407550574165, 0.9107297098131891, 0.9530206138089613, 0.9530206138089613, 0.816496580927726, 0.0, 0.09136364606808423, 0.10484544326715284, 0.12295916182159339, 0.1485542898151282]
dccce0bd49c1d58978b73af2202a7f58_track3_infill_bars64_66_context_2_generationtime_2.609515905380249.mid | 0.63 | [0.9911909269570927, 0.9813488203658671, 0.968798247728643, 0.9692590360770964, 0.9705839670267646, 0.960574367204173, 0.9573231724503514, 0.95819674669317, 0.954588914002725, 0.9359209573961441, 0.8879622615013324, 0.8332522065805973, 0.7533166351327367, 0.6217157513575781, 0.498865396448988, 0.5002615549049423, 0.4454924899257722, 0.4020654358200052, 0.3765689530514438, 0.3224949805888363, 0.31880408337432575, 0.3647692679239616, 0.3987851603220408, 0.3479258262335898, 0.37757997367798146, 0.40888533245415815, 0.42531348203581354, 0.44829908300740207, 0.44877348154061925, 0.4507574079119314, 0.4466775169134385, 0.47485078427509786]
97d116c3095ad1dc11b25679bfccfd71_track0_infill_bars64_66_context_2_generationtime_1.524911880493164.mid | 0.03 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08555039649972684, 0.23229747584409854, 0.2979629198315288, 0.24908513266019905, 0.1738386216970984, 0.0, 0.0, 0.0, 0.0, 0.0]
1cd9c24caf08f649d10514b871bff713_track5_infill_bars84_86_context_2_generationtime_0.7101840972900391.mid | 0.68 | [0.816496580927726, 0.8164965809277263, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.7949984100429816, 0.7826494936046106, 0.7685436403685669, 0.7445942240755568, 0.7106347469010426, 0.6676166887283266, 0.6174965961437939, 0.5628302400755805, 0.5531756514186141, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615558]
274bdefb98222ee43dcd0405c99e29be_track1_infill_bars24_26_context_2_generationtime_0.7051844596862793.mid | 0.71 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.316227766016838, 0.8944271909999159, 0.9899494936611664, 0.9761870601839526, 0.8574929257125442, 0.9970544855015815, 0.9486832980505139, 0.9409550140984068, 0.9926692441469532, 0.9997536337076608, 1.0, 0.9384249430919414, 0.8411324624588277, 0.9701425001453318, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9899494936611665, 0.98301950570634, 0.9996225280904235]
c84dca369309ddeba73e31a262ab53c5_track4_infill_bars44_46_context_2_generationtime_0.7727608680725098.mid | 0.78 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4b6ae542c153e7985f36507947fbd1c0_track5_infill_bars28_30_context_2_generationtime_0.823932409286499.mid | 0.85 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963299316138875, 0.9816496580713429, 0.9514255654933478, 0.9082482904043361, 0.8650710153416892, 0.8348469228135238, 0.8201666493045046, 0.819197874688457, 0.8096432008231428, 0.7896506282739499, 0.7501457970071237, 0.6996420848385029, 0.6721504792977214, 0.630124299496819, 0.5767019367945458, 0.5623947749024203, 0.5506759559462191, 0.528763330243799, 0.5037633016229867]
