Original: Average=0.4811, Std=0.2790
Infilled: Average=0.4668, Std=0.2849

Filename	PV Original	PV Infilled
53e55f8d77ed7afc8eeed3c08cda8a3d_track2_infill_bars16_18_context_2_generationtime_2.0102813243865967.mid	0.0287	0.1667
1cd9c24caf08f649d10514b871bff713_track5_infill_bars96_98_context_2_generationtime_0.61405348777771.mid	0.9000	1.0000
a35fb2a259170f3ef51b12956eb037ad_track0_infill_bars36_38_context_2_generationtime_0.4868917465209961.mid	0.5000	0.8000
9b108df374d4280df2d5086021814fe0_track2_infill_bars36_38_context_2_generationtime_0.7521920204162598.mid	1.0000	0.5714
87927d7bf0da3199625bce1a0bc470b4_track2_infill_bars44_46_context_2_generationtime_0.9583899974822998.mid	0.3684	0.2368
da941c8558dce7d81292a770abceacf0_track2_infill_bars28_30_context_2_generationtime_0.6291041374206543.mid	0.3750	0.5625
f45851e435ae5abb6bf96f8b4b95a0e8_track2_infill_bars76_78_context_2_generationtime_0.4304323196411133.mid	0.6667	0.3571
d2965d6947c9c89ed5eeb1f97c9889c1_track0_infill_bars36_38_context_2_generationtime_1.0066285133361816.mid	0.1562	0.3889
dccce0bd49c1d58978b73af2202a7f58_track3_infill_bars64_66_context_2_generationtime_2.609515905380249.mid	0.0833	0.2000
97d116c3095ad1dc11b25679bfccfd71_track0_infill_bars64_66_context_2_generationtime_1.524911880493164.mid	0.2593	0.1667
1cd9c24caf08f649d10514b871bff713_track5_infill_bars84_86_context_2_generationtime_0.7101840972900391.mid	0.5818	1.0000
274bdefb98222ee43dcd0405c99e29be_track1_infill_bars24_26_context_2_generationtime_0.7051844596862793.mid	0.1538	0.1875
c84dca369309ddeba73e31a262ab53c5_track4_infill_bars44_46_context_2_generationtime_0.7727608680725098.mid	0.1250	0.2500
4b6ae542c153e7985f36507947fbd1c0_track5_infill_bars28_30_context_2_generationtime_0.823932409286499.mid	0.6000	1.0000
dade01fd7d213830f153d9a2308dd14b_track0_infill_bars4_6_context_2_generationtime_0.7077970504760742.mid	0.8571	0.5000
3460957241faa38c8f60332dd8810359_track3_infill_bars68_70_context_2_generationtime_0.46495890617370605.mid	0.5294	0.5000
2a2d3eb8e2f1b01a654917362a2a187c_track2_infill_bars148_150_context_2_generationtime_0.3043193817138672.mid	0.1538	0.5000
0c1944a9c650c134f65985dbff2f70a4_track1_infill_bars72_74_context_2_generationtime_0.8547768592834473.mid	0.2308	0.1935
0251b2dc3cff8032a38c0e3a0a9ab40a_track0_infill_bars60_62_context_2_generationtime_0.701397180557251.mid	0.2000	0.3200
deb5b1e45b960eda3cd6a1b9c6d47350_track3_infill_bars8_10_context_2_generationtime_4.428331613540649.mid	0.1667	0.1250
89311ace045df825ca6cf3b69938d19d_track0_infill_bars68_70_context_2_generationtime_0.6923232078552246.mid	0.2500	0.2000
03364ec5b9c4fe07ff2ffb8242487cca_track3_infill_bars4_6_context_2_generationtime_0.3793671131134033.mid	0.4000	1.0000
06b049657bcdf22d8c85f054509a17b5_track0_infill_bars44_46_context_2_generationtime_0.8497328758239746.mid	0.0909	0.1250
b43dfe60a3220912634a7c9c26a63ad9_track6_infill_bars12_14_context_2_generationtime_0.8772485256195068.mid	0.4118	0.5000
aa32bc368ba97e0bb0105f8ee5079c74_track4_infill_bars36_38_context_2_generationtime_1.4697821140289307.mid	0.2727	0.2778
a01bf9dc3c220bbc5f04f5de8bb4ea14_track0_infill_bars12_14_context_2_generationtime_0.5092923641204834.mid	0.1875	0.2750
47c4d9e0c63515b20f4b34e3e2938a9a_track2_infill_bars48_50_context_2_generationtime_0.8648331165313721.mid	0.2778	0.5000
803677084e775b32d25ea2d8314975a3_track0_infill_bars28_30_context_2_generationtime_0.8584275245666504.mid	0.6000	0.4444
5c64b2fd2ee3ab7148fbd07a8cc26f63_track2_infill_bars8_10_context_2_generationtime_0.9938979148864746.mid	0.2105	0.0938
c67b3046962d58921601d9a4d8b116db_track2_infill_bars8_10_context_2_generationtime_0.5137722492218018.mid	0.3704	1.0000
4abcda6cd05a0e414d07eabaa6c71e99_track3_infill_bars52_54_context_2_generationtime_0.5611200332641602.mid	0.5556	1.0000
